Id,SalePrice
1461,128210.97389824028
1462,162717.3971819417
1463,200662.52277892438
1464,205213.70578452607
1465,185060.00482640413
1466,180823.13050684833
1467,162092.9769923676
1468,177230.41812146653
1469,180031.4066386307
1470,123537.12653869076
1471,219965.35883647975
1472,103498.0811017614
1473,100104.0764606553
1474,134345.06861061844
1475,129595.97304554313
1476,356623.55405228975
1477,224197.03391065059
1478,303086.9313588762
1479,287045.5263818205
1480,431935.4797273207
1481,270647.8566094555
1482,203109.0525623382
1483,191244.84836800542
1484,186996.63433085143
1485,192299.38777909742
1486,196984.14488654808
1487,293824.6382054954
1488,235476.8802514535
1489,212862.85665404794
1490,236330.17851232502
1491,204934.90017255142
1492,106711.9464395815
1493,172856.6924182566
1494,269129.7814025819
1495,269578.0554554816
1496,222346.53551303636
1497,160686.02765618067
1498,164028.64355851867
1499,159797.78472268346
1500,163830.56900321346
1501,172106.08606112123
1502,165718.89558518052
1503,249499.45960290314
1504,227155.19844098412
1505,230306.4192299808
1506,173799.13369090532
1507,227283.77960065927
1508,180384.25276905246
1509,159277.54563347565
1510,148767.28077495555
1511,143608.99658959365
1512,150999.01714853232
1513,143607.42627741938
1514,144139.2215331459
1515,172662.5092636766
1516,141988.13059831486
1517,166488.84881472972
1518,141783.47283759416
1519,217934.43808462526
1520,129822.93868675154
1521,130804.41767835453
1522,153555.3678340321
1523,125644.93166442735
1524,130017.58577517301
1525,124066.65884196445
1526,120097.46223674879
1527,130051.91243754353
1528,137639.9886473192
1529,135502.81553807718
1530,168704.25413121932
1531,152288.32687781006
1532,116881.65309887413
1533,138131.11773720235
1534,121924.68821329661
1535,128580.10974519161
1536,132629.10856104834
1537,83787.29265534155
1538,135605.61651938062
1539,148813.49288648262
1540,92167.92593285961
1541,133467.22658292679
1542,139623.99833704083
1543,172461.43444594025
1544,104068.67051319913
1545,112311.92019264631
1546,139185.1574708907
1547,148290.3878747294
1548,120427.22664296068
1549,121792.88778832546
1550,139603.91659440947
1551,122565.44540751468
1552,137238.74088212752
1553,127752.75174810426
1554,137037.84937747716
1555,158283.620084158
1556,101779.18966587081
1557,102227.85813160974
1558,113729.90045915976
1559,101467.31993052897
1560,136388.2061340061
1561,132817.8946187654
1562,133756.94269402887
1563,128627.15541943008
1564,164619.2848590118
1565,158728.62353898914
1566,212779.28786731098
1567,113520.00723944354
1568,247106.2811445079
1569,141490.94365162918
1570,139162.6967614312
1571,133115.7563224714
1572,143237.99188725502
1573,207433.54946817167
1574,141651.77231828246
1575,242636.5014775246
1576,237192.96783825484
1577,196691.64947183838
1578,139813.72761116968
1579,149636.657974563
1580,203360.08494914282
1581,144577.53381370986
1582,135581.8137794407
1583,302616.35223015764
1584,213982.0518503829
1585,143232.6067551287
1586,96264.2136135649
1587,109881.42602937773
1588,130100.0381078126
1589,111960.67334464159
1590,136018.89795980472
1591,106019.33268249103
1592,127418.92262908186
1593,134953.75781461477
1594,125847.52070514312
1595,110072.33936788455
1596,173760.87893327218
1597,172479.50704040937
1598,217103.5000878597
1599,156162.75790413647
1600,180329.3705360988
1601,106080.69050598503
1602,120738.51645145586
1603,106129.91599355206
1604,254213.3891028713
1605,229651.32118556806
1606,164374.45380455293
1607,142494.24391245286
1608,213425.31777484476
1609,203999.03692059527
1610,179412.11544138737
1611,139506.99765062815
1612,187951.94456430257
1613,174918.86133962043
1614,156478.2561474619
1615,99064.52430421567
1616,94726.40081239749
1617,100014.08539887643
1618,125702.22468547957
1619,138428.04010649546
1620,180514.6067369262
1621,149808.45548967968
1622,145800.99221420943
1623,233451.19928008047
1624,218560.8659612274
1625,125231.78494350267
1626,157756.51803051055
1627,199498.85246593357
1628,252528.75193087757
1629,177125.2837887863
1630,244783.6437741514
1631,186895.8949829709
1632,215666.5335076889
1633,190178.5356432261
1634,199450.80858221787
1635,184564.05326758663
1636,178600.92076518378
1637,211321.49961030457
1638,169897.65539021668
1639,171124.66335451973
1640,232631.75404648765
1641,159998.7947312695
1642,246064.80939940864
1643,189789.3320942632
1644,240362.63022277935
1645,201066.4273410839
1646,148584.23660828898
1647,149952.45010597914
1648,130148.33132160566
1649,145598.9143877648
1650,128813.35713732328
1651,125321.78898571497
1652,102252.38025453183
1653,100454.8250627582
1654,131827.34028600733
1655,152625.117824721
1656,134649.46056310483
1657,135778.78580835604
1658,131856.2040692727
1659,134629.8387469653
1660,149550.04628806163
1661,411700.57521962293
1662,320404.2209483945
1663,350788.2756544101
1664,419312.0414971078
1665,275648.9320900877
1666,338381.3372828612
1667,340165.27847284876
1668,352693.4002856706
1669,309021.57426040876
1670,354191.5452076623
1671,270609.36044185236
1672,405352.4230886188
1673,247491.87421126344
1674,241127.86092280393
1675,205787.2821453731
1676,200159.35500974965
1677,213556.36736581396
1678,411093.1723264116
1679,342094.1208060027
1680,288079.6168848039
1681,259351.0601208111
1682,316970.2124898221
1683,195740.63628990538
1684,181245.74694811937
1685,191396.01914951685
1686,191736.76872721475
1687,185233.75046993681
1688,200312.53657454942
1689,197031.42082477213
1690,199115.27931295717
1691,193168.71166145246
1692,220590.8532324452
1693,178251.75503235473
1694,196382.04119798023
1695,177112.57466288353
1696,202939.81919658175
1697,175751.09417062372
1698,296504.3514982449
1699,246229.06480525102
1700,262889.79962096555
1701,252347.65010052867
1702,232340.26425607587
1703,238905.89000745036
1704,290389.4601790045
1705,268672.0994657795
1706,413415.0430991891
1707,215224.11420200753
1708,210906.14942972158
1709,254443.13152945635
1710,225511.02970901402
1711,280148.6270925435
1712,245019.18752495848
1713,271680.0218913708
1714,207030.56499256322
1715,219920.17597843663
1716,182689.99120496662
1717,169032.21225154624
1718,120091.14031026454
1719,200752.8765125718
1720,212426.84949940493
1721,160875.35788823926
1722,131171.80380473062
1723,174412.8110260253
1724,222743.69244082388
1725,231241.7520779483
1726,196769.89832284724
1727,167346.76097022506
1728,192746.47975390268
1729,192374.66651328243
1730,134196.84941763594
1731,127611.3780319869
1732,139221.94954080443
1733,121923.65790246734
